Split,Entity_Type,MCC,Support_Tokens,TP,TN,FP,FN
validation,APT,0.8194,743,636,93077,172,107
validation,CAMPAIGN,0.2498,90,13,93885,17,77
validation,EXPLOIT,0.9201,316,303,93636,40,13
validation,FILE,0.7927,647,526,93193,152,121
validation,HASH,0.9509,79,77,93907,6,2
validation,INDICATOR,0.7778,741,561,93113,138,180
validation,INFRASTRUCTURE,0.5109,173,103,93688,131,70
validation,IP,0.8699,41,32,93950,1,9
validation,MALWARE,0.7171,1489,1017,92185,318,472
validation,METHOD,0.6278,1628,985,91866,498,643
validation,SOFTWARE,0.7021,358,235,93557,77,123
validation,THREAT_ACTOR,0.4682,289,130,93568,135,159
validation,TOOL,0.6757,1714,1143,91780,498,571
validation,URL,0.6581,17,9,93973,2,8
validation,VULNERABILITY,0.7259,352,235,93578,62,117
test,APT,0.8175,883,728,114847,167,155
test,CAMPAIGN,0.4839,84,32,115793,20,52
test,EXPLOIT,0.9305,428,417,115417,52,11
test,FILE,0.8072,980,817,114693,224,163
test,HASH,0.8625,83,77,115795,19,6
test,INDICATOR,0.7182,851,618,114799,247,233
test,INFRASTRUCTURE,0.6236,260,155,115555,82,105
test,IP,0.8846,52,46,115839,6,6
test,MALWARE,0.6864,1970,1250,113517,410,720
test,METHOD,0.6563,2521,1522,112808,568,999
test,SOFTWARE,0.7128,453,305,115346,98,148
test,THREAT_ACTOR,0.5317,348,182,115396,153,166
test,TOOL,0.6792,2036,1397,113214,647,639
test,URL,0.4065,35,9,115857,5,26
test,VULNERABILITY,0.7903,429,316,115412,56,113
